"Abrev";"Poblacion";"Ingresos";"Analf";"Esp.Vida";"Homicidio";"Sec.Grad";"Heladas";"Area";"Division"
"Alabama";"AL";-0,16982323314044;-1,43122737739494;1,49579169257514;-1,48268804913091;2,18424995972363;-1,52484128199328;-1,65013179299619;-0,237312105146218;"Sudeste Central"
"Alaska";"AK";-0,8516238258428;3,02584971495645;0,526157881810352;-1,27425786694451;1,10793378536042;1,67483527553421;0,945087951267147;5,38579954356845;"Pacifico"
"Arizona";"AZ";-0,464151304390105;0,0693715990711925;1,01097478719275;-0,280206228824818;0,116589940552196;0,59148022062333;-1,74843557118799;0,446425142643778;"Montania"
"Arkansas";"AR";-0,485549353761071;-1,83867478160097;1,17258042232021;-0,192024228669039;0,768044467140457;-1,70120140721133;-0,765397789270055;-0,223824679489355;"Sudoeste Central"
"California";"CA";3,5188228657782;1,03664511149528;-0,120264658699509;0,649713045545221;0,824692686843785;1,15835205168135;-1,65013179299619;0,914657969974681;"Pacifico"
"Colorado";"CO";-0,39513210592885;0,655698351465244;-0,76668719920937;0,930292136949982;-0,166651157964439;1,32211502509811;1,22033853020417;0,341197054515738;"Montania"
"Connecticut";"CT";-0,277862403984044;1,42421703256931;-0,120264658699509;1,26698704663569;-1,21464322247599;0,326940032796253;0,689498127968485;-0,737186411261451;"Nueva Inglaterra"
"Delaware";"DE";-0,806729879123321;0,531476581890233;-0,443475928954439;-0,67301695679147;-0,33659581707442;0,150579907578203;-0,0182890750124267;-0,768588016671124;"Atlantico Sur"
"Florida";"FL";0,808193493991376;0,541414323456234;-0,928292834336835;-0,192024228669039;0,937989126250439;-0,101363128447584;-1,82707859374142;-0,200437025460275;"Atlantico Sur"
"Georgia";"GA";0,106253560704577;-0,657739825507871;1,33418605744768;-1,89153186803497;1,84436064150367;-1,6130213446023;-0,863701567461848;-0,157009041312106;"Atlantico Sur"
"Hawaii";"HI";-0,74610207257225;0,786545282084255;1,01097478719275;2,16484013913089;-0,33659581707442;1,07017198907232;-2,04334690576337;-0,720144498325576;"Pacifico"
"Idaho";"ID";-0,757640236448751;-0,611363698199867;-0,928292834336835;0,777977773044546;-0,591512805739392;0,76784034584138;0,433908304669822;0,111256618236365;"Montania"
"Illinois";"IL";1,42076510343473;1,02505107966828;-0,443475928954439;-0,608884593041813;0,824692686843785;-0,101363128447584;0,453569060308181;-0,18235929567929;"Noreste Central"
"Indiana";"IN";0,186391353446824;-0,0498812997208179;-0,76668719920937;-0,0156602283574797;-0,0816788284094485;-0,0635716730437164;0,355265282116388;-0,39662073592425;"Noreste Central"
"Kansas";"KS";-0,449885938142794;0,299595945350213;-0,928292834336835;1,34715250132276;-0,8181056845527;0,818228953046537;0,197979237009518;0,101552649897959;"Noroeste Central"
"Kentucky";"KY";-0,217654167028482;-1,28547383442693;0,526157881810352;-0,640950774916647;0,909665016398775;-1,87756153242938;-0,175575120119296;-0,357881185917108;"Sudeste Central"
"Maine";"ME";-0,706242960998881;-1,31528705912493;-0,76668719920937;-0,408470956324131;-1,32793966188264;0,163177059379492;1,12203475201237;-0,45306730231518;"Nueva Inglaterra"
"Maryland";"MD";-0,0634623406788716;1,3430588097803;-0,443475928954439;-0,544752229292156;0,314858709513841;-0,139154583851453;-0,057610586289144;-0,682353538481852;"Atlantico Sur"
